animal_id,2017-05-22,2017-05-25,2017-05-30,2017-06-01,2017-06-07,2017-06-09,2017-06-13,2017-06-16,2017-06-19,2017-06-26,2017-07-04,2017-07-07,,,
001,1,0,0,0,0,0,0,0,0,0,0,0,,,
002,1,0,0,0,0,0,0,0,0,0,0,0,,,
003,0,1,0,0,0,0,0,0,0,0,0,0,,,
004,0,1,0,0,0,0,0,0,0,0,0,0,,,
005,0,1,0,1,0,0,0,0,0,0,0,0,,,
006,0,1,0,0,0,0,0,0,0,0,0,0,,,
007,0,1,0,0,0,0,0,0,0,0,0,0,,,
008,0,1,0,0,0,0,0,0,0,0,0,0,,,
009,0,1,0,0,0,0,0,0,0,0,0,0,,,
010,0,1,0,0,0,0,0,0,0,0,0,0,,,
011,0,1,0,0,0,0,0,0,0,0,0,0,,,
012,0,1,0,0,0,0,0,0,0,0,0,0,,,
013,0,1,0,0,0,0,0,0,0,0,0,0,,,
014,0,1,1,1,0,0,0,0,0,0,0,0,,,
015,0,1,0,0,0,0,0,0,0,0,0,0,,,
016,0,1,0,0,0,0,0,0,0,0,0,0,,,
017,0,0,1,0,0,0,0,0,0,0,0,0,,,
018,0,0,1,0,0,0,0,0,0,0,0,0,,,
019,0,0,1,0,0,0,0,0,0,0,0,0,,,
020,0,0,0,1,0,0,0,0,0,0,0,0,,,
021,0,0,0,1,0,0,0,0,0,0,0,0,,,
022,0,0,0,1,0,0,0,0,0,0,0,0,,,
023,0,0,0,1,0,0,0,0,0,0,0,0,,,
0,0,0,0,1,0,0,0,0,0,0,0,0,,,
027,0,0,0,0,1,0,0,0,0,0,0,0,,,
028,0,0,0,0,1,0,0,0,0,0,0,0,,,
030,0,0,0,0,0,0,1,0,0,0,0,0,,,
031,0,0,0,0,0,0,1,0,0,0,0,0,,,
032,0,0,0,0,0,0,0,1,1,0,0,0,,,
033,0,0,0,0,0,0,0,1,0,0,0,0,,,
034,0,0,0,0,0,0,0,1,0,0,0,0,,,
035,0,0,0,0,0,0,0,1,1,0,0,0,,,
036,0,0,0,0,0,0,0,1,0,0,0,0,,,
037,0,0,0,0,0,0,0,0,1,1,0,0,,,
038,0,0,0,0,0,0,0,0,1,0,0,0,,,
039,0,0,0,0,0,0,0,0,1,0,0,0,,,
040,0,0,0,0,0,0,0,0,1,0,0,0,,,
041,0,0,0,0,0,0,0,0,1,0,0,0,,,
042,0,0,0,0,0,0,0,0,1,0,0,0,,,
402,0,0,0,0,0,0,0,0,1,0,0,0,,,
043,0,0,0,0,0,0,0,0,1,0,0,0,,,
044,0,0,0,0,0,0,0,0,1,0,0,0,,,
045,0,0,0,0,0,0,0,0,0,1,0,0,,,
004,0,0,0,0,0,0,0,0,0,1,0,0,,,
046,0,0,0,0,0,0,0,0,0,1,0,0,,,
047,0,0,0,0,0,0,0,0,0,1,0,0,,,
048,0,0,0,0,0,0,0,0,0,0,1,0,,,
049,0,0,0,0,0,0,0,0,0,0,0,1,,,
050,0,0,0,0,0,0,0,0,0,0,0,1,,,
051,0,0,0,0,0,0,0,0,0,0,0,1,,,
