NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,0,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,30,30,5,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,30,10,15,10,NA,NA
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,10,0,0,0,10,10,NA
NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,10,NA
NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,40,NA
NA,NA,0,0,0,0,0,0,0,0,50,0,0,0,0,0,15,30,10,NA
NA,NA,0,0,0,0,0,0,0,0,40,0,NA,NA,NA,NA,NA,0,NA,NA
NA,NA,0,0,0,0,0,0,0,40,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,NA,0,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
